county,soil_type,avg_rainfall,avg_temp,elevation_m,irrigation,market_price_index,farm_type,recommendation,outcome
Mombasa,sandy,900,28,10,0,4,crop,cassava,1
Mombasa,loamy,900,28,15,1,5,crop,vegetables,1
Mombasa,sandy,900,28,10,0,3,livestock,chicken,1
Kwale,sandy,900,28,80,0,3,crop,cassava,1
Kwale,loamy,1000,27,300,1,4,crop,maize,1
Kwale,sandy,900,28,80,0,3,livestock,goat,1
Kilifi,sandy,900,30,30,0,3,crop,cassava,1
Kilifi,loamy,1000,28,200,1,4,crop,maize,1
Kilifi,sandy,900,30,30,0,3,livestock,chicken,1
Tana River,sandy,350,31,20,0,2,crop,sorghum,1
Tana River,sandy,350,31,20,1,3,crop,maize,1
Tana River,sandy,350,31,20,0,2,livestock,camel,1
Lamu,sandy,700,29,5,0,3,crop,coconut,1
Lamu,sandy,700,29,5,1,4,crop,vegetables,1
Lamu,sandy,700,29,5,0,3,livestock,goat,1
Taita Taveta,loamy,750,25,900,0,3,crop,beans,1
Taita Taveta,loamy,1000,22,1500,0,4,crop,maize,1
Taita Taveta,sandy,500,27,400,0,2,crop,sorghum,1
Taita Taveta,loamy,750,25,900,0,3,livestock,goat,1
Garissa,sandy,200,33,130,0,2,crop,green_grams,1
Garissa,sandy,200,33,130,1,3,crop,sorghum,1
Garissa,sandy,200,33,130,0,2,livestock,camel,1
Wajir,sandy,200,32,250,0,1,crop,green_grams,1
Wajir,sandy,200,32,250,0,1,livestock,camel,1
Mandera,sandy,180,34,230,0,1,crop,green_grams,1
Mandera,sandy,180,34,230,0,1,livestock,camel,1
Marsabit,sandy,350,22,1300,0,2,crop,sorghum,1
Marsabit,loamy,600,18,1600,0,3,crop,beans,1
Marsabit,sandy,350,22,1300,0,2,livestock,camel,1
Isiolo,sandy,300,28,400,0,2,crop,green_grams,1
Isiolo,sandy,300,28,400,1,3,crop,sorghum,1
Isiolo,sandy,300,28,400,0,2,livestock,goat,1
Meru,loamy,1200,20,1500,0,5,crop,maize,1
Meru,loamy,1200,20,1500,1,5,crop,tea,1
Meru,sandy,700,24,800,0,3,crop,sorghum,1
Meru,loamy,1200,20,1500,0,4,livestock,dairy_cow,1
Tharaka-Nithi,loamy,900,22,1200,0,4,crop,maize,1
Tharaka-Nithi,sandy,500,25,700,0,3,crop,sorghum,1
Tharaka-Nithi,loamy,900,22,1200,0,4,livestock,dairy_cow,1
Embu,clay,1000,21,1300,0,4,crop,maize,1
Embu,loamy,1200,19,1600,0,5,crop,tea,1
Embu,sandy,600,24,800,0,3,crop,beans,1
Embu,clay,1000,21,1300,0,4,livestock,dairy_cow,1
Kitui,sandy,250,28,1000,0,2,crop,green_grams,1
Kitui,sandy,500,25,1200,0,3,crop,sorghum,1
Kitui,loamy,700,22,1400,1,4,crop,maize,1
Kitui,sandy,250,28,1000,0,2,livestock,goat,1
Machakos,sandy,600,24,1500,0,3,crop,sorghum,1
Machakos,loamy,800,21,1700,0,4,crop,maize,1
Machakos,sandy,600,24,1500,1,4,crop,beans,1
Machakos,sandy,600,24,1500,0,3,livestock,goat,1
Makueni,sandy,350,26,1000,0,2,crop,sorghum,1
Makueni,sandy,500,24,1200,1,3,crop,maize,1
Makueni,sandy,350,26,1000,0,2,livestock,goat,1
Nyandarua,loamy,1100,16,2500,0,4,crop,potato,1
Nyandarua,loamy,1100,16,2500,0,4,crop,wheat,1
Nyandarua,loamy,1100,16,2500,0,4,livestock,dairy_cow,1
Nyeri,loamy,1200,20,1700,0,5,crop,maize,1
Nyeri,loamy,1400,17,2000,0,5,crop,tea,1
Nyeri,loamy,1200,20,1700,0,5,livestock,dairy_cow,1
Kirinyaga,loamy,1300,20,1200,0,5,crop,rice,1
